marque,modele
Seat,"Altea, Arona, Ateca, Autres, Ibiza, Leon, Leon Sc, Tarraco"
Skoda,"105, Autres, Fabia, Kamiq, Octavia, Scala, Superb, Yeti"
Smart,Fortwo
Ssangyong,"Actyon, Actyon Sports, Chairman, Korando, Rexton, Tivoli"
Ssangyoung,Tivoli
Suzuki,"Alto, Autres, Baleno, Celerio, Ciaz, Ertiga, Jimny, Jimny 5P, S Presso, S-Presso, Samurai, Swift, Sx4, Vitara"
Tata,"Tata Super Ace, Tata Xenon X2, Tata Xenon X2 Double Cabine"
Toyota,"Agya, Autres, Aygo, C Hr, C-Hr, Corolla, Corolla 5P, Fj, Gt86, Hiace, Hilux, Hilux Simple Cabine, Land Cruiser, Land Cruiser Prado, Prado, Rav 4, Rav 4 Hybride, Rav4, Yaris, Yaris Cross, Yaris Sedan"
Volkswagen,"Amarok, Beetle, Caddy, Cc, Crafter, Fox, Golf, Golf 2, Golf 4, Golf 5, Golf 6, Golf 7, Golf 8, Golf Plus, Jetta, Passat, Passat Cc, Polo, Polo Sedan, Scirocco, T Cross, T Roc, Taigo, Tiguan, Tiguan R Line, Touareg, Touran, Transporter, Up, Virtus"
Volvo,"240, Ex30, S40, S60, S80, V60, Xc60"
Wallyscar,"619, 719, Iris"
